Date	ADBE	CAT	DELL	INTC	MU	NVDA	PG	TEAM	WM
2023-08-23	0.11378568	0.11971892	0.34344162	-0.08479947	0.42216306	0.44759147	-0.03991581	0.01893080	-0.14730931
2023-08-24	0.11060779	0.11888690	0.32569614	-0.07358283	0.41357288	0.41642298	-0.04346862	0.03718381	-0.14461961
2023-08-25	0.09552666	0.11544871	0.33066999	-0.07167295	0.41633334	0.42799664	-0.04253386	0.02188249	-0.14217841
2023-08-28	0.09636103	0.11610465	0.32857125	-0.07243211	0.41337250	0.42772386	-0.04225707	0.02071901	-0.14265529
2023-08-29	0.09946243	0.11428162	0.33816893	-0.07209218	0.41235288	0.42568070	-0.04124127	0.01373920	-0.14201226
2023-08-30	0.09693649	0.10366114	0.33909161	-0.08173289	0.41725471	0.43253854	-0.04267523	0.01004709	-0.13905442
2023-08-31	0.08390347	0.10320267	0.32031234	-0.08759495	0.39058258	0.45400076	-0.04904349	0.01346094	-0.13382539
2023-09-01	0.08231271	0.10090086	0.12770057	-0.13597075	0.38223704	0.47889925	-0.05426681	0.04682961	-0.14101203
2023-09-05	0.07961083	0.10373681	0.11015810	-0.15617617	0.38227984	0.45034472	-0.05957177	0.05477811	-0.14143474
2023-09-06	0.07952409	0.10453117	0.11059366	-0.15604004	0.38246009	0.45024789	-0.05838671	0.05480036	-0.14098634
2023-09-07	0.08935128	0.10284849	0.09652729	-0.12583922	0.38754875	0.44968180	-0.05233649	0.04859664	-0.13888180
2023-09-08	0.09323723	0.09907223	0.08712780	-0.11402533	0.38529778	0.45458664	-0.05146602	0.04897778	-0.13741778
2023-09-11	0.09106308	0.10095532	0.08403110	-0.10415790	0.38495546	0.45548339	-0.05000512	0.04535593	-0.13718037
2023-09-12	0.09060052	0.09640786	0.05880382	-0.06900982	0.40192748	0.45529759	-0.04811442	0.05842989	-0.13386671
2023-09-13	0.08690246	0.09708962	0.06110334	-0.06589983	0.39706010	0.45944146	-0.04785051	0.05792500	-0.13369277
2023-09-14	0.08866755	0.09549977	0.06129888	-0.06792696	0.39563465	0.46023003	-0.04901777	0.05760085	-0.13750549
2023-09-15	0.09405955	0.09951166	0.06499509	-0.06350102	0.39769227	0.45671085	-0.04783436	0.06790839	-0.13844354
2023-09-18	0.09827375	0.09115289	0.07392525	-0.06347405	0.39023254	0.47437253	-0.05059538	0.04538596	-0.12609862
2023-09-19	0.09148256	0.08650831	0.05854782	-0.02843298	0.37993294	0.47893025	-0.04911478	0.06195306	-0.12820364
2023-09-20	0.09021517	0.08637101	0.05766201	-0.03055266	0.37507093	0.48555974	-0.05078475	0.06680535	-0.12715314
2023-09-21	0.11455522	0.09366969	0.06675683	-0.06319362	0.39090670	0.50136314	-0.05804527	0.10341121	-0.11413438
2023-09-22	0.11511349	0.09488407	0.06554799	-0.05897381	0.39951877	0.50040426	-0.05794931	0.10623302	-0.11607840
2023-09-25	0.12739573	0.07063664	0.02264475	-0.04489865	0.39487772	0.48099983	-0.05832025	0.12446808	-0.08762596
2023-09-26	0.12813231	0.06737102	0.02273286	-0.04563018	0.39347935	0.48212398	-0.06000300	0.12512318	-0.08903360
2023-09-27	0.13043948	0.06634696	0.01631698	-0.03699678	0.38681581	0.48520245	-0.06072370	0.15153104	-0.08458556
2023-09-28	0.11674266	0.06947822	0.00789761	-0.00787542	0.32593909	0.47210593	-0.07313541	0.14316823	-0.08158343
2023-09-29	0.11210626	0.07300314	0.00862016	-0.00504966	0.30497684	0.47127203	-0.07330466	0.13794125	-0.07438656
2023-10-02	0.10804126	0.06790781	0.02380558	-0.00976584	0.31291987	0.47831346	-0.07355288	0.13880044	-0.06901310
2023-10-03	0.10764178	0.06752789	0.02041226	-0.01957586	0.30458416	0.47757435	-0.07682567	0.14531424	-0.07378377
2023-10-04	0.10581875	0.06575546	0.01561708	-0.02394852	0.30371929	0.47149241	-0.08002331	0.13619500	-0.07169083
2023-10-05	0.11055293	0.07060947	0.02650569	-0.01711313	0.29944718	0.46309786	-0.08571163	0.15085427	-0.07451544
2023-10-06	0.09733772	0.05157813	0.01345636	-0.03568112	0.33889574	0.49122428	-0.08344557	0.14132655	-0.07086252
2023-10-09	0.10567688	0.04738006	0.00197292	-0.02785322	0.27292073	0.48892665	-0.07507708	0.14618530	-0.06991140
2023-10-10	0.10370505	0.04156955	0.00833783	-0.02848011	0.25050928	0.50079206	-0.07284973	0.14299178	-0.07394595
